imdb_id,title,year,director,region_code,budget_usd,us_gross,genres,date,runtime_minutes,averagerating
tt0368226,The Room,2003,Tommy Wiseau,US,6000000.0,550000.0,Drama,2003-06-27,,
tt0368447,The Village,2004,M. Night Shyamalan,US,60000000.0,114000000.0,"Drama, Mystery, Thriller",2004-07-30,,
tt0368578,Are We There Yet?,2005,Brian Levant,US,32000000.0,83000000.0,"Adventure, Comedy, Family",2005-01-20,,
tt0368709,Elizabethtown,2005,Cameron Crowe,US,45000000.0,27000000.0,"Comedy, Drama, Romance",2005-10-06,,
tt0368774,The Heart Is Deceitful Above All Things,2004,Asia Argento,US,-1.0,29000.0,Drama,2004-09-15,,
tt0368794,I'm Not There,2007,Todd Haynes,US,20000000.0,4000000.0,"Biography, Drama, Music",2007-10-01,,
tt0368891,National Treasure,2004,Jon Turteltaub,US,100000000.0,173000000.0,"Action, Adventure, Mystery",2004-11-19,,
tt0368909,Ong-Bak: The Thai Warrior,2003,Prachya Pinkaew,TH,-1.0,4600000.0,"Action, Crime, Thriller",2003-01-21,,
tt0368933,The Princess Diaries 2: Royal Engagement,2004,Garry Marshall,US,40000000.0,95000000.0,"Comedy, Family, Romance",2004-08-06,,
tt0368975,Sleepover,2004,Joe Nussbaum,US,10000000.0,9400000.0,"Comedy, Family, Romance",2004-07-09,,
tt0369226,Alone in the Dark,2005,Uwe Boll,CA,20000000.0,5200000.0,"Action, Horror, Sci-Fi",2005-01-28,,
tt0369339,Collateral,2004,Michael Mann,US,65000000.0,101000000.0,"Crime, Drama, Thriller",2004-08-04,,
tt0369436,Four Christmases,2008,Seth Gordon,US,80000000.0,120000000.0,"Comedy, Drama, Romance",2008-11-26,,
tt0369441,Fun with Dick and Jane,2005,Dean Parisot,US,100000000.0,110000000.0,"Comedy, Crime",2005-12-21,,
tt0369610,Jurassic World,2015,Colin Trevorrow,US,150000000.0,652000000.0,"Action, Adventure, Sci-Fi",2015-06-06,124.0,7.0
tt0369672,A Love Song for Bobby Long,2004,Shainee Gabel,US,-1.0,164000.0,Drama,2004-09-02,,
tt0369702,The Sea Inside,2004,Alejandro Amenábar,ES,10713520.462824084,2100000.0,"Biography, Drama",2004-09-03,,
tt0369735,Monster-in-Law,2005,Robert Luketic,US,43000000.0,83000000.0,"Comedy, Romance",2005-05-13,,
tt0370032,Ultraviolet,2006,Kurt Wimmer,US,30000000.0,19000000.0,"Action, Sci-Fi",2006-03-03,,
tt0370263,Alien vs. Predator,2004,Paul W.S. Anderson,US,60000000.0,80000000.0,"Action, Adventure, Horror",2004-08-12,,
tt0370986,Mysterious Skin,2004,Gregg Araki,US,-1.0,713000.0,Drama,2004-05-20,,
tt0371246,Spanglish,2004,James L. Brooks,US,80000000.0,43000000.0,"Comedy, Drama, Romance",2004-12-17,,
tt0371257,Stay,2005,Marc Forster,US,50000000.0,3600000.0,"Drama, Mystery, Thriller",2005-09-24,,
tt0371606,Chicken Little,2005,Mark Dindal,US,150000000.0,135000000.0,"Animation, Adventure, Comedy",2005-11-04,,
tt0371724,The Hitchhiker's Guide to the Galaxy,2005,Garth Jennings,US,50000000.0,51000000.0,"Adventure, Comedy, Sci-Fi",2005-04-28,,
tt0371746,Iron Man,2008,Jon Favreau,US,140000000.0,319000000.0,"Action, Adventure, Sci-Fi",2008-04-30,,
tt0372183,The Bourne Supremacy,2004,Paul Greengrass,US,75000000.0,176000000.0,"Action, Mystery, Thriller",2004-07-23,,
tt0372237,Guess Who,2005,Kevin Rodney Sullivan,US,35000000.0,69000000.0,"Comedy, Romance",2005-03-25,,
tt0372532,The Wedding Date,2005,Clare Kilner,US,15000000.0,32000000.0,"Comedy, Romance",2005-02-04,,
tt0372588,Team America: World Police,2004,Trey Parker,US,32000000.0,33000000.0,"Action, Comedy",2004-10-10,,
tt0372784,Batman Begins,2005,Christopher Nolan,US,150000000.0,207000000.0,"Action, Adventure",2005-06-10,,
tt0372824,The Chorus,2004,Christophe Barratier,CH,5892436.254553246,3600000.0,"Drama, Music",2004-03-17,,
tt0372909,Private,2003,Tinto Brass,IT,-1.0,-1.0,"Drama, Romance",,,
tt0373051,Journey to the Center of the Earth,2008,Eric Brevig,US,60000000.0,102000000.0,"Action, Adventure, Family",2008-07-10,,
tt0373074,Kung Fu Hustle,2004,Stephen Chow,unknown,20000000.0,17000000.0,"Action, Comedy, Fantasy",2004-02-10,,
tt0373450,Where the Truth Lies,2005,Atom Egoyan,CA,25000000.0,872000.0,"Crime, Drama, Mystery",2005-10-07,,
tt0373469,Kiss Kiss Bang Bang,2005,Shane Black,US,15000000.0,4200000.0,"Action, Comedy, Crime",2005-09-05,,
tt0373883,Halloween,2007,Rob Zombie,US,15000000.0,58000000.0,Horror,2007-08-31,,
tt0373889,Harry Potter and the Order of the Phoenix,2007,David Yates,US,150000000.0,292000000.0,"Action, Adventure, Family",2007-06-28,,
tt0373926,The Interpreter,2005,Sydney Pollack,US,80000000.0,73000000.0,"Crime, Mystery, Thriller",2005-04-08,,
tt0374102,Open Water,2003,Chris Kentis,US,500000.0,31000000.0,"Adventure, Drama, Horror",2003-12-29,,
tt0374536,Bewitched,2005,Nora Ephron,US,85000000.0,63000000.0,"Comedy, Fantasy, Romance",2005-06-21,,
tt0374546,"Spring, Summer, Fall, Winter... and Spring",2003,Ki-duk Kim,KR,-1.0,2400000.0,"Drama, Romance",2003-09-19,,
tt0374563,Captivity,2007,Roland Joffé,US,17000000.0,2600000.0,"Crime, Drama, Horror",2007-03-09,,
tt0374569,Che: Part Two,2008,Steven Soderbergh,FR,40000000.0,749000.0,"Biography, Drama, History",,,
tt0374887,Munna Bhai M.B.B.S.,2003,Rajkumar Hirani,IN,-1.0,49000.0,"Comedy, Drama, Musical",,,
